Actor,Average Biiling
Harrison Ford, 118.82195121951219
Samuel L. Jackson, 69.17101449275363
Morgan Freeman, 73.25081967213114
Tom Hanks, 98.65454545454546
"Robert Downey, "Robert Downey, 74.47735849056605
Eddie Murphy, 100.27368421052631
Tom Cruise, 99.64444444444445
Johnny Depp, 74.85777777777777
Michael Caine, 57.78448275862069
Scarlett Johansson, 90.3027027027027
Gary Oldman, 86.6842105263158
Robin Williams, 66.92448979591838
Bruce Willis, 53.156666666666666
Stellan Skarsgard, 73.83720930232558
Anthony Daniels, 451.84285714285716
Ian McKellen, 101.6258064516129
Will Smith, 131.2125
Stanley Tucci, 62.478
Matt Damon, 79.67435897435898
Robert DeNiro, 39.003797468354435
Cameron Diaz, 89.16764705882352
Liam Neeson, 46.70952380952381
Andy Serkis, 125.67826086956521
Don Cheadle, 84.86470588235295
Ben Stiller, 76.4054054054054
Helena Bonham Carter, 78.38888888888889
Orlando Bloom, 165.63529411764708
Woody Harrelson, 56.316
Cate Blanchett, 71.86153846153846
Julia Roberts, 65.12619047619049
Elizabeth Banks, 77.89428571428572
Ralph Fiennes, 75.42500000000001
Emma Watson, 157.75882352941176
Tommy Lee Jones, 58.289130434782614
Brad Pitt, 67.02250000000001
Adam Sandler, 83.15625
Daniel Radcliffe, 154.96470588235294
Jonah Hill, 89.83103448275861
Owen Wilson, 66.72564102564102
Idris Elba, 99.25384615384615
Bradley Cooper, 102.30799999999999
Mark Wahlberg, 70.82777777777778
Jim Carrey, 94.26666666666667
Dustin Hoffman, 58.65348837209302
Leonardo DiCaprio, 100.73200000000001
Jeremy Renner, 119.06190476190477
Philip Seymour Hoffman, 61.592499999999994
Sandra Bullock, 70.36
Chris Evans, 106.8608695652174
Anne Hathaway, 96.66
